id,reference,hypothesis,wer,cer
0,elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır,əlim adamları planetlərin süsilədə quyruqlı ulduzlar uzun zaman əvvəl yer planeti ilə topuşduq üçün yer planetinin necə yarandığını başa düşməyə çalışır,0.22727272727272727,0.07051282051282051
1,onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi,onu yirmi yaşlarında olduğu bildirlir biber asıqlamasında bu facəv-qəzanın birbaşa iştirakçısı olmasam da düşünclərin və dualarım hadisə qurbandının ailəsinin yanındadır dedi,0.36363636363636365,0.08
2,pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər,pulcub kimi dərisi və dırnaxtları onu ayaqlara sahib buquşlar yumurta qoya bilir və tiranazavar rekslər kimi ikar xayahlarının üstündə gəzə bilirlər,0.391304347826087,0.10526315789473684
3,şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idi...sonra yağış gəldi amma yağış damcıları o qədər sərt və böyük idi ki dəriyə iynə kimi batırdı sonrası göydən dolu yağdı insanlar təşvişlə və bağıraraq bir-birlərinin üstündən keçərək qaçmağa başladılar,şoğu başladığıdan sadəcə 5 dəyəqə sonra küləyəsməyə başladı 1 dəyəqə keçmemiş küləyin şirəti artıq saatda 70 km idi sonra yağış gəldi amma yağış damcılar o qədər sərf və böyük idi ki dəriyə iynə kimi batırdı sonrası qöydən dolu yağdı insanlar təşvişlə və bağıraraq bir birləni üstündən keçirəyə qaşmağa başladılar,0.375,0.09090909090909091
4,maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür,mariya adlanan qaranlıq qahtların altında daha nazəlik dağlıq yerlərin altında isə daha qalan görünür,0.2857142857142857,0.05154639175257732
5,abş-ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir,abşin geologi xidmətlər birosunun ostrolo qəyyətindən ve arizonoştatının flux staf şəhərində iləşən şimali arizono ümumistətindən olan qlen kuşingindəliyində görə onların termal hərəkətləri yəgər platiyanakı kifaya qədər davamlı tempraturu testizdəsəkləyin böyük mağaralar davlanar qədər stabil deyil onca bu həmin dərin dəriklərin torbaqda olması iləlaqəlidir,0.5869565217391305,0.1724137931034483
6,katalon dili metroda müntəzəm olaraq verilən elanların əsas dilidir lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə o cümlədən i̇span i̇ngilis fransız ərəb və yapon dillərində verir,katalog dili metrada minitəzim olaraq verilən eylanları nəsəs edildir lakin automatılaşdırılmış sistem pənlaşdırılmalış problemlər barədə eylanlar fərqli dillərdə o cübədədə i̇span-i̇ngiliz-fransız ərab və yapon dillərində verilir,0.5357142857142857,0.12389380530973451
7,körpünün istifadəyə verilişi 2017-ci ilin sentyabr ayına yəni braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır,körpünün istifadəyə verilişi 2017-ci abrayna yəni braziliyilə gömlük nəzarəti məntəqələrinin işlərini bitirəcəyə vaxta planlaşdırılır,0.375,0.11888111888111888
8,əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər,əlbəxtə bu ənənəni hristiyan deyini baxımından izahı var amma bu hristiyanlıqdan əvvəl olan baxarın gəreşi və məhsildarlığı səbəbillə də keçirilə bilər,0.42857142857142855,0.10273972602739725
9,yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir,yənə də şəngən zonası bu baxımdan bir qədəl təqdövlət funksiyasına malikdir,0.4166666666666667,0.07894736842105263
