id,reference,hypothesis,wer,cer
0,elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır,elim adamları planetlərin süsilə də quyruqlı ulduzlar uzun zaman əvvəl yer planeti ilə topuştubu üçün yer planetinin ne ziyarandığını başa düşməyə çalışır.,0.3181818181818182,0.08333333333333333
1,onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi,"10-20 yaşlarında olduğu bildirlir. biber asıqlamasında bu facəv-qəzanın birbaşa iştirakçısı olmasam da, düşüncülərin və dualarım hadisə qurbanının ailəsinin yanındadır, dedir.",0.45454545454545453,0.09714285714285714
2,pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər,pulcub kimi dərisi və dırnaxlar onu ayaqlara sahib buquşlar yumurta qoyabilir və tiranazavr rexslər kimi iki arx ayaqlarının üstündə gəzə bilirlər.,0.4782608695652174,0.08552631578947369
3,şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idi...sonra yağış gəldi amma yağış damcıları o qədər sərt və böyük idi ki dəriyə iynə kimi batırdı sonrası göydən dolu yağdı insanlar təşvişlə və bağıraraq bir-birlərinin üstündən keçərək qaçmağa başladılar,"şov başladığı dən sadece 5 dəyəqə sonra külləyə esməyə başladı. bir dəyəqə keçməmiş külləyin çürət artıq sağda 70 km idi. sonra yaqış gəldi, amma yaqış damcılar o qədər sərt və böyük idi ki, dəriyə iğne kimi batırdı. sonrası qöydən doluyaqdı. i̇nsanlar təşvişlə və bağıraraq bir bilənin üstündən keçirəyə qasmağa başladılar.",0.625,0.14106583072100312
4,maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür,"mari adlanan qaranlı qahtların altında daha naziq, dahlıq yerlərin altında isə daha qalan görünür.",0.5,0.08247422680412371
5,abş-ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir,"abuşun geologi xidmətlər bürosunun astrologi həyətindən ve arizona şudatının flux-staff şəhərində iləşən şimali arizona üniversitetinə nolan qlyn-kuşingindəlik nə görə, onların tərmal hərəkətləri yəgər, planetindəki kifaya qədər davamlı temperature-u deyirsiniz, dəstəkləyin böyük maharalar davlanır qədər stabil deyir. onca bu həmin dərin dəriklərin torbaqda olması ilə lagəlidir.",0.5869565217391305,0.16710875331564987
6,katalon dili metroda müntəzəm olaraq verilən elanların əsas dilidir lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə o cümlədən i̇span i̇ngilis fransız ərəb və yapon dillərində verir,"katolub dili metrada minitəzim olaraq verilən eylənlərin nəsəs dilidır. lakin automatılaşdırılmış, sistem pənlaşdırılmalış problemlər barədə eylənlər fərqli dillərdə, o cübələdən i̇span, i̇ngiliz, fransız, ərab və yapan dillərində verilir.",0.6071428571428571,0.16371681415929204
7,körpünün istifadəyə verilişi 2017-ci ilin sentyabr ayına yəni braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır,"çöribünün istifadəya verilişi 2017-ci ebrahimə, yəni, brasi ilə gömlük nəzarəti məntəgələrinin işlərinə bitirəcəyə vəxudda planlaşdırılır.",0.8125,0.23776223776223776
8,əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər,"albəxt də bu ənəni, xristiyan dini baxımından izahı var. amma bu xristiyanlıqdan əvvəl olan baharın gərişi və məhsildəli səbəbillə də keşirlə bilər.",0.5238095238095238,0.136986301369863
9,yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir,yenə də şəngin zonası bu baxımdan bir qədə tək dövlət funqüsəsində malikdir.,0.3333333333333333,0.15789473684210525
10,bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır,bu tapındı həm də quşlə eləkilənin təkamil haqqında təsəbür yaratır.,0.6,0.18840579710144928
11,sundarban dünyanın ən böyük sahilyanı manqrov bölgəsidir və sahildən banqladeş və hindistanın içərilərinə doğru 80 km 50 mil uzanır,"sundarban dünyanın ən böyük sahiliyanı mangurov bölgəsidir və sahildən bangaladır və hindistanın inşərlərinə doğru 60 km, 50 mil uzanır.",0.3684210526315789,0.09923664122137404
12,o bütün bu şayiələri siyasi boşboğazlıq və axmaqlıq adlandırdı,"o, bütün bu şayələri siyasi boş bağızlıq və ahmulqlıq adlandırırdı.",0.6666666666666666,0.1774193548387097
13,mərasimin i̇taliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində xüsusilə də polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı,"mərasımin i̇talyanın bir çox digər şəhərlərində və dünyanın qalan isəsində, xüsusilə də polşada geniş insan köçlərə tərəfindən izlənməsi üzün, həmin yerlərə enişəkildə nəhək əqraqınlar quraşdırılırdı.",0.4074074074074074,0.12745098039215685
14,filippinli fotoqraflar kimi uşaqlar və yaşlılar da daxil 6 əsr sərbəst buraxıldı,"fülifbinin fotograflar kimi uşaqlar və yaşlılar da daxil, 6 esir sərbəz bırakıldı.",0.5,0.175
15,qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yemək-içmək və əyləncə təklif edirlər,"qonqlara rüq hüqsəkləyini qorumak və onların həmin yeri də qonqlanmasını təmin etmək üçün onlar adətən xüsusi gəmək, içmək və ələncə təklif edirlər.",0.55,0.14093959731543623
16,dünən axşam buenos airesdən 50 km 31 mil məsafədə yerləşən la plata şəhərində hazırki senator və argentinanın birinci xanımı kristina fernandez de kirçner prezidentliyə namizədliyini elan etdi,dünən akşam buena sairesdən 50 km 31-mil məsafədə yerləşən laplata şəhərində hazırki senatır varginsinə 1. qanımı kristina fernandızda kirşınır prezidentliyə namizətliyini eyalan etti.,0.6666666666666666,0.17708333333333334
17,mövcud bütün resurslardan bir qurumun funksional departamentlərində effektiv bir şəkildə istifadə olunursa yaradıcılıq və ustalıq ortaya çıxa bilər,"mövcud bütö resurslardan bir qurumun funksiyonal departmetlərində effektib bir şəkildə istifadə olunursa, yaratıcılık və əbustalığı ortaya çıxabilər.",0.5,0.10204081632653061
18,tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər; tez-tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002,"tələbələr bloglarda uqqun istifadə edən bəq anatik və tənqidi bacarıqları müəqəmləndirə bilər, testiz internet materiallarını müraycət edib başqalarının yazılıları əsaslığında bir mögü ortaya koyu, həmçin qususi mövzularda öz perspektivlərini müəyyən edə biləmlər.",0.6060606060606061,0.18115942028985507
